voice_id,name,description,language,locale,gender,age,accent,category,descriptive,use_case,preview_url
z52gEIoQzfRHDNXFBlUl,"Lam Ngo - Natural, friendly voice","The speaker speaks with a calm and professional tone in Vietnamese, suitable for informative educational purposes.",vi,vi-VN,male,middle_aged,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/e475517357fc4bb289063109ca5f3bc6/voices/z52gEIoQzfRHDNXFBlUl/bf034013-2de3-41e7-aeb6-b03f29c9107b.mp3
g0UtKHMoHYe4SHQobaIL,"Kim - Storytelling, Calm & Real Voice","The speaker delivers a message about the value of time using a calm and professional tone, suitable for educational content.",vi,vi-VN,female,young,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/9704bc8bebf241a8b4c7b556402d6dc8/voices/g0UtKHMoHYe4SHQobaIL/cb17e5c5-7148-4670-b080-d7faa7dff7dc.mp3
nbv4fVbfyLxvuHzyIeDo,Ngoc Diem Pham,"The speaker has a professional and pleasant voice, suitable for informative content.",vi,vi-VN,female,young,standard,professional,pleasant,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/U0wDAmhEHhYffuTpPYQZAMQIXjv2/voices/nbv4fVbfyLxvuHzyIeDo/JkJf3wFdv4E3F57lx3YM.mp3
t3OMlxHxJtV0RvnZAY1X,Yuen Yuen ,"A middle-aged male with a standard accent speaking in a casual, pleasant Vietnamese style for conversational purposes.",vi,vi-VN,male,middle-aged,standard,professional,casual,conversational,https://storage.googleapis.com/eleven-public-prod/database/workspace/980cca7c4c8f4c44b8788023c39b0550/voices/t3OMlxHxJtV0RvnZAY1X/86b5ab99-e44d-4cb6-9b39-f2133ea2345a.mp3
aNgyJM3HqLEAaxmXxG1V,Khanh Tu - Storyteller and Characters,"The speaker delivers a narration in a professional manner, suitable for character animation, featuring a standard Vietnamese accent.",vi,vi-VN,female,middle-aged,standard,professional,professional,characters_animation,https://storage.googleapis.com/eleven-public-prod/database/workspace/e77e88cd74b34799b7d9bb5b008f7d2d/voices/aNgyJM3HqLEAaxmXxG1V/MXNziq2zaaoQJ3GETHjD.mp3
AYozKR5VAKhmcfQriHWo,Manh Huy,"The speaker delivers a confident and professional message with a calm and meditative tone, suitable for informative or educational purposes.",vi,vi-VN,male,middle_aged,standard,professional,meditative,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/fdef706887444d66b98e3c5c5ec3f322/voices/AYozKR5VAKhmcfQriHWo/0fb6c2d7-49f6-4c5f-abc7-7342eee82873.mp3
8PEPqUGgvwN1Fk9KR8jV,An Nhiên,The speaker delivers a professional and informative message in a formal tone about human behavior and culture.,vi,vi-VN,female,middle-aged,standard,professional,formal,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/85d6d9bc50f6459aaaf1ec8572519ebf/voices/8PEPqUGgvwN1Fk9KR8jV/SfrwSQyGTr48TnsNwlkh.mp3
QqID1ZB0DTItNxAKGBNW,Viết Linh,The speaker speaks with a calm and mature tone that is appropriate for an informative educational context.,vi,vi-VN,male,middle_aged,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/3cda3c33df604df49535d973e018118e/voices/QqID1ZB0DTItNxAKGBNW/9d2f2298-b1d0-4d51-8c9e-f8829781753a.mp3
yf9161zbUv3ksvUPn3Yg,Anh Le,"The speaker has a professional, calm, and informative tone, providing helpful communication.",vi,vi-VN,female,middle-aged,standard,professional,professional,conversational,https://storage.googleapis.com/eleven-public-prod/database/workspace/cf7f87c8f008494c8498137fddecd5dd/voices/yf9161zbUv3ksvUPn3Yg/bd3040b4-0502-4b84-af57-0157c31cd578.mp3
HG0MlJIknmaXREpTckfK,Tuan Anh - Deep & Narrative,"The speaker has a professional, mature, and calm voice suitable for educational use.",vi,vi-VN,male,middle_aged,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/28f7ccc1c00c4bf3a0ab0128b1d591c8/voices/HG0MlJIknmaXREpTckfK/ScPsJSFq7OU3Gm9Nwced.mp3
D0dFzCacaMgMGjIksFuH,Ngoc An - Warm Audiobook Narrator,"The speaker expresses gratitude in a mature, soft, and gentle tone, suitable for informative or educational purposes.",vi,vi-VN,female,mature,standard,professional,gentle,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/b912c04a468a4451808a2f10f112766b/voices/D0dFzCacaMgMGjIksFuH/RQODsdC9FqyN9wN6VQiB.mp3
TSQmL8GUTyX83rgaewuP,"Xuan Hi - Emotional, Warm & Gentle",A calm and pleasant male voice speaks about life in a professional tone for a narrative story.,vi,vi-VN,male,middle-aged,standard,professional,calm,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/workspace/cbea6639831b475d83f9ae8fc9777c5d/voices/TSQmL8GUTyX83rgaewuP/rW1ZuvIL9hXTw5DXqe3R.mp3
s06eec3OqspIDuOznMK4,HTN,"The speaker delivers a message about unity with a calm, deliberate tone.",vi,vi-VN,female,young,standard,professional,calm,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/user_7301kg2jkq98fm0tb9snqz360zjr/voices/s06eec3OqspIDuOznMK4/ba53a78b-df82-4de6-a4c3-a9d50c0cbe37.mp3
P37gHF6iLTEvs2pLYhyv,Anna Thu – Gentle Vietnamese Female,"A woman speaks in a calm, informative style in a professional audio recording.",vi,vi-VN,female,young,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/user_9401ker0ft35ej98vrwtgvv04sgn/voices/P37gHF6iLTEvs2pLYhyv/WMj6L6CqaRA1WRtQTn1o.mp3
qByVAGjXwGlkcRDJoiHg,Kiều Linh,"The speaker speaks with a natural, conversational, and pleasant tone.",vi,vi-VN,female,young,standard,high_quality,pleasant,conversational,https://storage.googleapis.com/eleven-public-prod/database/workspace/29ca19d1407e47fc86008497a8499f88/voices/qByVAGjXwGlkcRDJoiHg/e95723e3-1ba6-4b30-b302-6e4bcbf5b808.mp3
IovBBFnLZ6QzJhFLLroy,Tam Nguyen - Fairy Tail & children Friendly,Giọng đọc chuyên cho truyện cổ tích phù hợp với các sản phẩm cho thiếu nhi.,vi,vi-VN,female,young,standard,professional,pleasant,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/user_9001ke6xzf2mf50tbvksj3nx2r7g/voices/IovBBFnLZ6QzJhFLLroy/Vqzugmhcoif9ESpYePTy.mp3
5vqV9IG7sDpzgzKOIZAv,Kenh,"The speaker has a professional and pleasant voice, delivering a serious and informative message.",vi,vi-VN,female,middle_aged,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/Da1ci1Rlyjhpa7OMQnnx0P0e0Ua2/voices/5vqV9IG7sDpzgzKOIZAv/aba48cdc-093b-47bd-8fd6-814dd55b776e.mp3
f966mdF5njWREvreUG07,Quyen Ru,"This is a professional male speaker using a standard accent, suitable for informative or educational use cases.",vi,vi-VN,male,young,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/dQn3x0QUDcf2Y3FiEu32G1fVmCb2/voices/f966mdF5njWREvreUG07/zaacSsmRbxdMMPLOzd1H.mp3
In8K4JDLu1r9fGysc64F,Tuan,"The speaker speaks with a calm and mature voice in Vietnamese, suitable for narration.",vi,vi-VN,male,middle-aged,standard,professional,calm,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/DHkgZAF2CmeutldMJ3T5hiybsat2/voices/In8K4JDLu1r9fGysc64F/cfa1cd57-fea7-4831-b2e6-b62c6115c32b.mp3
Si3s1VCb7dLbeqH57kiC,Quynh Anh - Voice coach,The speaker delivers a concise message with a calm tone in a casual style.,vi,vi-VN,male,middle-aged,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/VwgYWV3dWefcgGig7BmZ0wFBwte2/voices/Si3s1VCb7dLbeqH57kiC/a6185f92-e1bd-4c52-b5a6-7ddff7a38240.mp3
2ZUpiKo5wCCuypvx2zaS,Tony Nguyễn,"The speaker delivers a calm and professional message, well-suited for educational content.",vi,vi-VN,female,middle-aged,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/r7GgnjXQwHMhWzSU4ZMk50DdwaT2/voices/2ZUpiKo5wCCuypvx2zaS/76db9511-41d6-4430-aba8-9b3ae8b01109.mp3
0ggMuQ1r9f9jqBu50nJn,Thắm - Giọng Nữ Miền Bắc,The speaker delivers a calm and professional message suitable for narrative stories in Vietnamese.,vi,vi-VN,female,young,standard,professional,calm,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/qLMxIirU8qeh6SoWEpHZArCyKC82/voices/0ggMuQ1r9f9jqBu50nJn/ijjXRso64oDa6QLfuwzH.mp3
6adFm46eyy74snVn6YrT,Nhật - Narrative & Compelling,"The speaker delivers a professional message with a calm and formal tone, suitable for informative educational purposes.",vi,vi-VN,male,middle-aged,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/054550d878c24146a05038f0255decf3/voices/6adFm46eyy74snVn6YrT/K0y0WKKMItzwoqq2pkmS.mp3
VAzxBZgjAoy5WCeMEmFW,"Lâm -  Authentic, Warm & Engaging",The speaker delivers a confident and professional message in Vietnamese with a standard accent.,vi,vi-VN,male,middle-aged,standard,professional,confident,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/iQ3xDkBX0Adn9AEWEyGHbr3m8SE3/voices/VAzxBZgjAoy5WCeMEmFW/9e2bba9d-3f36-49c8-97ed-73a48004139f.mp3
0xI4eT7fHnn6AHTfF4Ro,"Tieu Hong - Warm, deep female voice","The speaker speaks with a calm and mature voice in Vietnamese, suitable for informative or educational purposes.",vi,vi-VN,female,middle-aged,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/f4M403Yz0WhmGnRDW9Wc9ymrjHz1/voices/0xI4eT7fHnn6AHTfF4Ro/41768834-c398-4a9d-a75d-d5843d29b0c1.mp3
9RpzPSAZdsH0F8tpXfP4,Truc Lam,"The speaker delivers the audio content with a serious and mature tone, intended for a narrative story.",vi,vi-VN,male,middle-aged,standard,professional,serious,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/QtLl2zZ4umdmC5wh3LEkWIypF163/voices/9RpzPSAZdsH0F8tpXfP4/f7451dbb-fccb-4b5b-948c-056d679da995.mp3
kPNz4WRTiKDplS7jAwHu,Tran Thanh,"A man shares a wise message about the importance of home, family, and happiness.",vi,vi-VN,male,middle_aged,standard,professional,wise,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/workspace/487b3830672647c18e63b1cfe3fb1957/voices/kPNz4WRTiKDplS7jAwHu/BQLdAtxWdmuoIUmBMm02.mp3
z9AwTVuN8C7iJ75jitEW,"Huy - Deep, Trustworthy and Professional",The speaker delivers a proverbial saying in a neutral and professional tone.,vi,vi-VN,female,young,standard,professional,neutral,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/N0cFkDOT4sRqA7wUUIS4ReicFP42/voices/z9AwTVuN8C7iJ75jitEW/07c8d228-2c4c-49c8-8cd6-4daf35609c6e.mp3
ArosID24mP18TEiQpNhs,"Trang - Warm, Trustworthy and Inspiring","The speaker has a professional, calm tone, perfect for an informative or educational use case.",vi,vi-VN,female,young,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/qgkniOWhmVflg7NZMO4iSwwjY0b2/voices/ArosID24mP18TEiQpNhs/Wyo8g0DXFsIrAQ9n2AVN.mp3
IZKDEBDVLx4BnFc8W03D,"Minh - Warm, Calm and Intelligent","The speaker delivers a confident and professional message in a casual and upbeat manner, suitable for an informative or educational context.",vi,vi-VN,male,young,standard,professional,confident,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/d7OWNY850EO48zNk8riuVbVqDHp2/voices/IZKDEBDVLx4BnFc8W03D/WeyJ3CTzY0wjgaGFn582.mp3
a3AkyqGG4v8Pg7SWQ0Y3,"Ngan - Cute, Bubbly and Authentic",The speaker delivers a positive and personal review of a coffee shop in a casual tone.,vi,vi-VN,female,young,standard,high_quality,casual,conversational,https://storage.googleapis.com/eleven-public-prod/database/user/dIFexbiNQxgnb3WWjl4HVrbAQ5D3/voices/a3AkyqGG4v8Pg7SWQ0Y3/uKOB9hPHe57vcsoIvRNv.mp3
FfC8yOt3HaUlZaet6DPx,Trung Caha - Articulate and Informative,"The speaker speaks with a serious tone about being cautious and careful, suitable for informative or educational purposes.",vi,vi-VN,male,middle-aged,standard,professional,serious,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/kgDarH0QSrXCI1TCVIMe2DiiHQm1/voices/FfC8yOt3HaUlZaet6DPx/a260361a-f040-48c4-90ba-cb3100ff1d29.mp3
zRKf3RQpAJq11rSezsxD,"Bao - Soft, Loving and Elegant","A young female speaks in a gentle and friendly tone, suitable for conversational content.",vi,vi-VN,female,young,standard,professional,gentle,conversational,https://storage.googleapis.com/eleven-public-prod/database/user/1bvJ6MGTHVOxfTwuEhCf0yWMqu22/voices/zRKf3RQpAJq11rSezsxD/QB9YGTkCjzIdNYJ6BDsW.mp3
eZ248pfac00g3092s7h8,"Huy Le - Calm, Clear and Professional",The speaker delivers a confident and professional message with a calm tone.,vi,vi-VN,male,middle-aged,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/Py4sXFHrJeToOTFfwxm15GuteQl1/voices/eZ248pfac00g3092s7h8/lQw7br0h1kRFcpiWdgDz.mp3
L5c6tGA8OiORYKxez5Zu,"Linh - Soft, Calm and Expressive","The speaker presents a clear, casual, and professional voice narrative in a conversational tone.",vi,vi-VN,female,young,standard,professional,casual,conversational,https://storage.googleapis.com/eleven-public-prod/database/user/8a6QMGjxe2PifBSOlsDRVmPJe952/voices/L5c6tGA8OiORYKxez5Zu/89saGHHUAFoEN2mJQAS2.mp3
q6uIUrmSRksEvUMlwYPR,Huong - Soft and Gentle Narrator,"The speaker has a professional voice with a calming and pleasant tone, ideal for narrative storytelling.",vi,vi-VN,female,young,standard,high_quality,calm,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/cSyxqBrNHXVh8d8rxCNHGtd9htE3/voices/q6uIUrmSRksEvUMlwYPR/29woKB4NgJvFulJ0gxRb.mp3
h7K5CmpgjUpbfD1vi7Zz,"Gia - Gentle, Clean and Pragmatic",The speaker is professional and confident with a male voice who delivers a clear message in a professional tone for informative and educational purposes.,vi,vi-VN,male,middle-aged,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/5YQdv36563fQrImYjBT4Yt7Q1GO2/voices/h7K5CmpgjUpbfD1vi7Zz/BsGRcJMoEeEec8n5TjXz.mp3
DVQIYWzpAqd5qcoIlirg,"Duyen - Bright, Clear and Captivating","A middle-aged male with a standard accent speaking in a formal, professional, and serious tone for an informative or educational purpose.",vi,vi-VN,male,middle-aged,standard,professional,serious,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/IN2IBlTa4Eeh74gqrrbU9AS5JMY2/voices/DVQIYWzpAqd5qcoIlirg/FQXOvtWxGQUwavDqW9gI.mp3
cvguG4SQfZYZ0wHQTNLF,"Hoàng - Firm, Steady Storyteller","The speaker provides simple, easy-to-follow cooking instructions in a calm and casual tone.",vi,vi-VN,male,young,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/Xo9SfPPDRxXQC6qPNGxCc8xr4Eo2/voices/cvguG4SQfZYZ0wHQTNLF/9iebIkaKkdQdutkLZv4y.mp3
MfnRBJHBrGwMSVFTatjK,"Tran - Calm, Soothing and Trustworthy",The speaker delivers a calm and professional message with a soft tone and clear enunciation.,vi,vi-VN,female,young,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/y9E99xJLmwZBk9gfiLihCh6fTgj2/voices/MfnRBJHBrGwMSVFTatjK/e4b6993d-91ea-4fe6-a326-48518521304a.mp3
KVzG2JMdZJKi6y7cwERP,Quang Nguyen - Warm and Dynamic,A man's voice delivers a wise and professional message in Vietnamese with a standard accent.,vi,vi-VN,male,middle_aged,standard,professional,wise,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/aaVU9U8RcJTLZ80aHbgW3PcvNZi1/voices/KVzG2JMdZJKi6y7cwERP/2f0e77a9-a1d1-4295-ab0b-d3b259810ce8.mp3
eqMFh4kWVrmjm0Bcil6E,"Nguyen - Clear, Bright Saleswoman","The speaker delivers a confident and professional message in a clear and engaging manner, suitable for an advertisement.",vi,vi-VN,female,young,standard,professional,confident,advertisement,https://storage.googleapis.com/eleven-public-prod/database/user/yuC6ZEbRUbUKBYztSOjUTrUeCBr1/voices/eqMFh4kWVrmjm0Bcil6E/1mZJ7rLYCqzrssS0Qmll.mp3
oAvm5cbNCsMTdnhtmIs4,"Nguyet - Clear, Steady and Professional","A calm, professional-sounding individual delivers a message about character traits.",vi,vi-VN,female,young,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/Dko2PI0TEUdVET7BKUfUkKlO7R02/voices/oAvm5cbNCsMTdnhtmIs4/1bb8930b-c2aa-4fee-8026-76b6be5de597.mp3
jdlxsPOZOHdGEfcItXVu,Hien - Warm and Deep Broadcaster,"A professional and informative voiceover in Vietnamese with a calm tone, suitable for educational use cases.",vi,vi-VN,female,middle-aged,standard,professional,calm,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/17NZzSbd9IP82gjbwwscwymdCIE3/voices/jdlxsPOZOHdGEfcItXVu/bQt8zs9XKBj9Z0Xqi9Jo.mp3
deC6NEXcbavaVWbzjgzb,"Phuong - Smooth, Comforting and Gentle","A person speaks with a calm and gentle tone, perfect for a narrative story.",vi,vi-VN,female,young,standard,professional,gentle,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/xxqDuxFSCVMaxhi8dLF6bXx1Nsh2/voices/deC6NEXcbavaVWbzjgzb/0WjtU3OWcWtGW4jDm4aV.mp3
Y3DoBhgPgHh29oMNUEDk,"Ngọc - Soft, Thoughful and Elegant",A person discusses inner peace and the impact of money on their emotional state in a serious tone.,vi,vi-VN,female,middle-aged,standard,professional,serious,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/tZtzhbvNvrXzQPVLfKoxkqVCrZe2/voices/Y3DoBhgPgHh29oMNUEDk/TlLWCe4W3PdpQon8h16R.mp3
jdCnxs34TN80uQ8DRnGR,Linh - Clear and Expressive,The speaker delivers a message with a crisp tone suitable for an informative educational context.,vi,vi-VN,male,young,standard,professional,crisp,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/qJ54csVg0RhnhAWHfooHIRib9Lu2/voices/jdCnxs34TN80uQ8DRnGR/db5b99c2-e0e3-4bd6-a323-ba6753105486.mp3
rXOGzMiqbmjugMpzKMEx,"Freya - Soft, Cute and Alluring",The speaker delivers a message with a calm and pleasant tone.,vi,vi-VN,female,young,standard,professional,pleasant,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/SqsZJjIn59WJShvYG9fFpuV5u3k1/voices/rXOGzMiqbmjugMpzKMEx/aRzQr2d6Q2zGlErQtWax.mp3
5g2DMFQF8xR0KmnuNr4U,"Hoa - Smooth, Gentle and Poetic",The speaker delivers a conversational and casual message in Vietnamese with a female voice and young tone.,vi,vi-VN,female,young,standard,high_quality,casual,conversational,https://storage.googleapis.com/eleven-public-prod/database/workspace/17a4788352574678ac59160b9bc2bf6f/voices/5g2DMFQF8xR0KmnuNr4U/WkC9V8OTI8AUsMi6uIpm.mp3
oLR5l8TbWm0sNc5LspDA,"Thanh - Deep, Calm and Steady",The speaker delivers a confident and professional message in a natural tone.,vi,vi-VN,male,middle_aged,standard,professional,confident,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/ALSlUmX7NRRgBvSkRh9nqhsWbUx2/voices/oLR5l8TbWm0sNc5LspDA/f09b6dee-8cde-4494-95f2-27c8f03aaf8c.mp3
N0Z0aL8qHhzwUHwRBcVo,"Thanh - Clear, Steady and Informative","The speaker delivers a confident and professional message in a clear, measured tone.",vi,vi-VN,female,middle_aged,standard,professional,confident,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/nB5ukL2aGiTkLYQ2YOfjMzgQt6s2/voices/N0Z0aL8qHhzwUHwRBcVo/LfArSwOE3zkhGLQPCEWE.mp3
EcENCamMHdzIoMysqdsv,"Ethan - Clear, Firm and Compassionate","The speaker has a professional, calm, and neutral voice, which is used for narrative story purposes.",vi,vi-VN,male,middle-aged,standard,professional,neutral,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/GjYjGlQ8jQbvytlMP71nFRgvWNq1/voices/EcENCamMHdzIoMysqdsv/H7P4FxvtA1e2h6eEYpyO.mp3
FSA98p0BgnTAzCpH8avM,"Vinh - Warm, Smooth and Lyrical",The speaker delivers a confident and professional message in Vietnamese with a standard accent.,vi,vi-VN,male,young,standard,professional,confident,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/fFmAA57VUohXqfQYwBWUqkz65bm1/voices/FSA98p0BgnTAzCpH8avM/TU6Kfg6Uoyq3gNEJjJtt.mp3
puBBfOSRT9Dbk3FUJQGd,"Quan - Warm, Thoughful and Elegant","The speaker delivers a mature and professional message with a calm and serious tone, suitable for narrative stories.",vi,vi-VN,female,middle-aged,standard,professional,serious,narrative_story,https://storage.googleapis.com/eleven-public-prod/database/user/Lc9YzU6BL8RzhWbnEbDkU3kPHAr1/voices/puBBfOSRT9Dbk3FUJQGd/3p0oC7bZRIwi8sIjoP92.mp3
1rqNHUqUbBGpY3OyzPMI,"Duyen - Sweet, Calm and Gentle",The speaker delivers a confident and professional message in Vietnamese.,vi,vi-VN,female,young,standard,professional,confident,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/GjaS12TSpaRPl19WJR8EIfP34v12/voices/1rqNHUqUbBGpY3OyzPMI/ZPGjuD22x72Yi0nmK1V2.mp3
5DIp7NodzHK1ZgA68hss,"Quy - Warm, Cheerful and Gentle","A young male speaker speaks in a professional, conversational tone with an American accent in English.",en,en-US,male,young,american,professional,casual,conversational,https://storage.googleapis.com/eleven-public-prod/database/user/XzVhKkSPYpU73LWDDEt9MBAHFR83/voices/5DIp7NodzHK1ZgA68hss/4l19KnfjtivyBzhTqzgn.mp3
hfQXFFMygx7xoaljt9aE,"Zenson - Clear, Calm and Confident",The speaker is a middle-aged male with a standard accent who delivers a professional and serious message.,vi,vi-VN,male,middle_aged,standard,professional,serious,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/workspace/c014ac02ceb942a9a7325af6bdac2c71/voices/hfQXFFMygx7xoaljt9aE/Av2RAWZIOtzXTx9WHdi1.mp3
u8EWWYyBDfXFxHak7WM3,"Nathan - Soft, Soothing and Emotional",A young male speaker with a standard accent delivers a conversational message in a casual and upbeat manner.,vi,vi-VN,male,young,standard,professional,casual,conversational,https://storage.googleapis.com/eleven-public-prod/database/user/89rJywaruQRmIMtcj28j3unL7Z92/voices/u8EWWYyBDfXFxHak7WM3/4iXNggeyeCG9x7jTD7bH.mp3
rBPOXJ1BAFm78yP1UmBB,"Owen - Deep, Smooth and Resonant","The speaker is a middle-aged male with a Vietnamese accent, using a professional tone that is suitable for informative and educational purposes.",vi,vi-VN,male,middle-aged,standard,professional,professional,informative_educational,https://storage.googleapis.com/eleven-public-prod/database/user/GK1ZcS6XkaMK8SLHhzXFSs5mKPJ3/voices/rBPOXJ1BAFm78yP1UmBB/z1MeOh7a7dq0mSSsbArM.mp3
